"Region","year","mCPR_MW","mCPR_AW"
"Alexandria",2000,0.166317568456726,0.157502890930245
"Alexandria",2001,0.17643040224079,0.167364981648281
"Alexandria",2002,0.186934723377576,0.177320249303268
"Alexandria",2003,0.196788481212402,0.186923403929756
"Alexandria",2004,0.205590968439067,0.194841465711743
"Alexandria",2005,0.213605825213867,0.202260666608954
"Alexandria",2006,0.220246300366579,0.208425491506364
"Alexandria",2007,0.224456498426914,0.21126936216711
"Alexandria",2008,0.228219671616764,0.213116695215793
"Alexandria",2009,0.230668922502663,0.21384856570309
"Alexandria",2010,0.23333737918385,0.21498197179154
"Alexandria",2011,0.236132674718481,0.215546515500265
"Alexandria",2012,0.240711923049838,0.217620894057623
"Alexandria",2013,0.246719851506507,0.221426473026175
"Alexandria",2014,0.253972268959035,0.226159482844455
"Alexandria",2015,0.260179873310977,0.231170598455955
"Alexandria",2016,0.266745353698927,0.236665308961198
"Alexandria",2017,0.275511439476714,0.244165635972137
"Alexandria",2018,0.28411512385373,0.25093357579869
"Alexandria",2019,0.292603503166818,0.257414150726596
"Alexandria",2020,0.30012705578776,0.263890743157327
"Alexandria",2021,0.308725775189717,0.269912301425073
"Alexandria",2022,0.316762539433827,0.276382002002235
"Alexandria",2023,0.32555815923433,0.282819113277137
"Alexandria",2024,0.333998884835643,0.289021894058032
"Alexandria",2025,0.342827827141051,0.295324815189824
"Alexandria",2026,0.351388442621612,0.301394863241783
"Alexandria",2027,0.359141179536504,0.307690289087743
"Alexandria",2028,0.365917086994536,0.312596473211745
"Alexandria",2029,0.37544621567573,0.318533169537887
"Alexandria",2030,0.382185869634474,0.323378944006826
"Dorothyville",2000,0.0845845602876594,0.0936671215258656
"Dorothyville",2001,0.0860550228878734,0.0966659490190346
"Dorothyville",2002,0.0873079638242775,0.099576682605937
"Dorothyville",2003,0.0887603190219353,0.102754710852118
"Dorothyville",2004,0.0910888096093227,0.10574158584782
"Dorothyville",2005,0.0943391393142971,0.109181042410151
"Dorothyville",2006,0.0974758407088462,0.112866767365611
"Dorothyville",2007,0.101776918515186,0.116958146987056
"Dorothyville",2008,0.107340128797805,0.121998399418751
"Dorothyville",2009,0.114258895838947,0.128229845230537
"Dorothyville",2010,0.121289960710076,0.13434241184583
"Dorothyville",2011,0.128552237272081,0.140454170272372
"Dorothyville",2012,0.136028090482206,0.146209936839197
"Dorothyville",2013,0.142315021540397,0.150801644653346
"Dorothyville",2014,0.150231558689221,0.154777048874392
"Dorothyville",2015,0.158340842300074,0.158766351360071
"Dorothyville",2016,0.166070262143954,0.162864400427553
"Dorothyville",2017,0.172485674290576,0.166147759290142
"Dorothyville",2018,0.178191306181435,0.169451307375628
"Dorothyville",2019,0.184148420564952,0.173341062258423
"Dorothyville",2020,0.190970248635988,0.178016199331154
"Dorothyville",2021,0.199254579341786,0.183394665185027
"Dorothyville",2022,0.206905496057125,0.188979218058719
"Dorothyville",2023,0.214607548137853,0.194175977852973
"Dorothyville",2024,0.221664426445122,0.19970633012663
"Dorothyville",2025,0.230336105280096,0.206289331431304
"Dorothyville",2026,0.239094244265261,0.211947142765111
"Dorothyville",2027,0.246646902354812,0.217655071253197
"Dorothyville",2028,0.25439468799943,0.222419954464158
"Dorothyville",2029,0.262410298253028,0.22782703914314
"Dorothyville",2030,0.26938622264537,0.232912457841788
"Hagridland",2000,0.128904756170674,0.0991117004426612
"Hagridland",2001,0.138088625606327,0.104831091799853
"Hagridland",2002,0.144135839750219,0.108459329813607
"Hagridland",2003,0.148074274453419,0.110387168825794
"Hagridland",2004,0.147168468343818,0.109082469071555
"Hagridland",2005,0.145017907403538,0.107023033773716
"Hagridland",2006,0.144845922720355,0.106223966620332
"Hagridland",2007,0.146706457226351,0.107893879478427
"Hagridland",2008,0.151321316022704,0.11181503611451
"Hagridland",2009,0.156460627597335,0.116110235522304
"Hagridland",2010,0.161994421264862,0.120540521338143
"Hagridland",2011,0.168010372922851,0.125814803353309
"Hagridland",2012,0.175502106732454,0.131866487815045
"Hagridland",2013,0.183798586323815,0.138316738558025
"Hagridland",2014,0.189446648910902,0.143999170773093
"Hagridland",2015,0.193467236319421,0.148296888806317
"Hagridland",2016,0.197979500820603,0.152748344737898
"Hagridland",2017,0.202659727859542,0.156891458418842
"Hagridland",2018,0.210038225687368,0.163320510894701
"Hagridland",2019,0.217843735369325,0.169597897258727
"Hagridland",2020,0.226274333732337,0.176453247276918
"Hagridland",2021,0.234559054083546,0.182300952894209
"Hagridland",2022,0.241921360356502,0.188118467862602
"Hagridland",2023,0.250634125276545,0.194839518739392
"Hagridland",2024,0.258731065520345,0.200846388738837
"Hagridland",2025,0.267884808348922,0.207179202753629
"Hagridland",2026,0.276465988185785,0.213210702387127
"Hagridland",2027,0.28545566951651,0.219334121426764
"Hagridland",2028,0.292299050957028,0.225073879484332
"Hagridland",2029,0.301931002189584,0.229915407846519
"Hagridland",2030,0.309693125783605,0.236642571546754
"Port_Alvin",2000,0.219113985023872,0.165791170794869
"Port_Alvin",2001,0.227021178228739,0.171409363971748
"Port_Alvin",2002,0.233068517420169,0.175909249918048
"Port_Alvin",2003,0.238082300930623,0.178996396174824
"Port_Alvin",2004,0.242188908557936,0.181885843417868
"Port_Alvin",2005,0.245376413904141,0.184232578469561
"Port_Alvin",2006,0.246960120690155,0.186180781444341
"Port_Alvin",2007,0.247881523371609,0.187729879470238
"Port_Alvin",2008,0.249801769019369,0.189476287869904
"Port_Alvin",2009,0.252000292683217,0.191585152979299
"Port_Alvin",2010,0.254789127553322,0.194443448841469
"Port_Alvin",2011,0.261180182330745,0.200642337989005
"Port_Alvin",2012,0.268615354397241,0.207687802418391
"Port_Alvin",2013,0.276695103251281,0.215137662335797
"Port_Alvin",2014,0.28729584891458,0.224088140456374
"Port_Alvin",2015,0.297532437935545,0.232550895763458
"Port_Alvin",2016,0.307692542087943,0.241236386658756
"Port_Alvin",2017,0.319037941636676,0.250133576882461
"Port_Alvin",2018,0.328418557723809,0.257784421631666
"Port_Alvin",2019,0.335386265967404,0.263718001210056
"Port_Alvin",2020,0.341514680893671,0.268373370831116
"Port_Alvin",2021,0.347252681037035,0.272922630916038
"Port_Alvin",2022,0.353949049525618,0.277670725281376
"Port_Alvin",2023,0.35945921832866,0.282032620695492
"Port_Alvin",2024,0.365556821970279,0.286162224287893
"Port_Alvin",2025,0.371205006306593,0.28989525166641
"Port_Alvin",2026,0.376826506209979,0.29448808472889
"Port_Alvin",2027,0.383729539883425,0.298394244420195
"Port_Alvin",2028,0.389194418727821,0.302812968947701
"Port_Alvin",2029,0.395139090818915,0.305977238860988
"Port_Alvin",2030,0.401035176508237,0.310109672881562
